"ts","x","y","z"
1.881572530E2,2.598789707E-2,-1.397996098E-1,2.524783909E-1
1.881673020E2,5.683955178E-2,-3.431925178E-2,2.655939460E-1
1.881773500E2,1.018922329E-1,7.015228271E-2,2.895537913E-1
1.881873990E2,1.512813419E-1,1.542578340E-1,3.083631694E-1
1.881974480E2,2.066088021E-1,2.181646675E-1,3.126586378E-1
1.882074960E2,2.542748451E-1,2.465100288E-1,3.027000129E-1
1.882175450E2,2.929328084E-1,2.522174716E-1,2.813602090E-1
1.882275930E2,3.064382374E-1,2.242846340E-1,2.426959127E-1
1.882376420E2,3.167089224E-1,1.686692536E-1,2.062982768E-1
1.882476900E2,3.355513215E-1,9.266716242E-2,1.597339660E-1
1.882577390E2,3.600375056E-1,-1.233430300E-2,9.762132913E-2
1.882677870E2,3.790407777E-1,-1.118228137E-1,3.204737604E-2
1.882778360E2,3.837244511E-1,-2.108890116E-1,-1.691131666E-2
1.882878840E2,3.545255363E-1,-3.123924434E-1,-4.686442018E-2
1.882979330E2,2.841070592E-1,-4.077703059E-1,-4.832479730E-2
1.883079810E2,1.933731735E-1,-4.450974464E-1,-1.461184304E-2
1.883180300E2,1.213495731E-1,-4.005284011E-1,3.645768389E-2
1.883280780E2,5.122853816E-2,-3.060141504E-1,1.066255867E-1
1.883381270E2,-3.155954182E-2,-2.194214463E-1,1.951860189E-1
1.883481750E2,-1.752237678E-1,-1.955238432E-1,3.116604388E-1
1.883582240E2,-4.391558468E-1,-2.365330905E-1,4.737294018E-1
1.883682730E2,-6.660744548E-1,-1.537481993E-1,6.564856172E-1
1.883783210E2,-6.278954744E-1,1.396793574E-1,8.063136339E-1
1.883883700E2,-3.989043534E-1,3.566524088E-1,8.202760220E-1
1.883984180E2,-2.779901028E-1,1.361880302E-1,6.073296666E-1
1.884084670E2,-2.272358388E-1,-2.027599365E-1,3.436184227E-1
1.884185150E2,-1.746429205E-1,-4.086102545E-1,9.765179455E-2
1.884285640E2,-8.361447603E-2,-4.845931828E-1,-1.276596189E-1
